instance,localhost:9090
job,prometheus
listener_name,http
__name__,net_conntrack_listener_conn_closed_total
instance,localhost:9090
job,prometheus
listener_name,http
__name__,process_max_fds
instance,localhost:9090
job,prometheus
__name__,process_virtual_memory_bytes
instance,localhost:9090
job,prometheus
__name__,process_virtual_memory_max_bytes
instance,localhost:9090
job,prometheus
__name__,prometheus_api_remote_read_queries
instance,localhost:9090
job,prometheus
__name__,prometheus_build_info
branch,HEAD
goversion,go1.14.4
instance,localhost:9090
job,prometheus
revision,5d7e3e970602c755855340cb190a972cebdd2ebf
version,2.19.0
__name__,prometheus_config_last_reload_success_timestamp_seconds
instance,localhost:9090
job,prometheus
__name__,prometheus_config_last_reload_successful
instance,localhost:9090
job,prometheus
__name__,prometheus_engine_queries
instance,localhost:9090
job,prometheus
__name__,prometheus_engine_queries_concurrent_max
instance,localhost:9090
job,prometheus
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.99
slice,result_sort
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.99
slice,prepare_time
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.9
slice,inner_eval
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.5
slice,queue_time
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.5
slice,inner_eval
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.99
slice,queue_time
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.5
slice,prepare_time
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.9
slice,queue_time
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.99
slice,inner_eval
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.9
slice,result_sort
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.9
slice,prepare_time
__name__,prometheus_engine_query_duration_seconds
instance,localhost:9090
job,prometheus
quantile,0.5
slice,result_sort
__name__,prometheus_engine_query_duration_seconds_count
instance,localhost:9090
job,prometheus
slice,inner_eval
__name__,prometheus_engine_query_duration_seconds_count
instance,localhost:9090
job,prometheus
slice,queue_time
__name__,prometheus_engine_query_duration_seconds_count
instance,localhost:9090
job,prometheus
slice,result_sort
__name__,prometheus_engine_query_duration_seconds_count
instance,localhost:9090
job,prometheus
slice,prepare_time
__name__,prometheus_engine_query_duration_seconds_sum
instance,localhost:9090
job,prometheus
slice,inner_eval
__name__,prometheus_engine_query_duration_seconds_sum
instance,localhost:9090
job,prometheus
slice,prepare_time
__name__,prometheus_engine_query_duration_seconds_sum
instance,localhost:9090
job,prometheus
slice,result_sort
__name__,prometheus_engine_query_duration_seconds_sum
instance,localhost:9090
job,prometheus
slice,queue_time
__name__,prometheus_engine_query_log_enabled
instance,localhost:9090
job,prometheus
__name__,prometheus_engine_query_log_failures_total
instance,localhost:9090
job,prometheus
__name__,prometheus_http_request_duration_seconds_bucket
handler,/graph
instance,localhost:9090
job,prometheus
le,0.4
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/query_range
instance,localhost:9090
job,prometheus
le,20
__name__,prometheus_http_request_duration_seconds_bucket
handler,/
instance,localhost:9090
job,prometheus
le,3
__name__,prometheus_http_request_duration_seconds_bucket
handler,/
instance,localhost:9090
job,prometheus
le,8
__name__,prometheus_http_request_duration_seconds_bucket
handler,/
instance,localhost:9090
job,prometheus
le,20
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,0.1
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,8
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,1
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,20
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,0.1
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,0.4
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,60
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/label/:name/values
instance,localhost:9090
job,prometheus
le,20
__name__,prometheus_http_request_duration_seconds_bucket
handler,/
instance,localhost:9090
job,prometheus
le,1
__name__,prometheus_http_request_duration_seconds_bucket
handler,/static/*filepath
instance,localhost:9090
job,prometheus
le,60
__name__,prometheus_http_request_duration_seconds_bucket
handler,/
instance,localhost:9090
job,prometheus
le,60
__name__,prometheus_http_request_duration_seconds_bucket
handler,/metrics
instance,localhost:9090
job,prometheus
le,0.4
__name__,prometheus_http_request_duration_seconds_bucket
handler,/api/v1/query_range
instance,localhost:9090
job,prometheus
